microbe,disease,effect,pmid,evidence,SCD,evidence_record_count
Streptococcus,obesity,increase,30894560,Baseline abundance was significantly associated with hormonal and metabolic effects of RS,"RS intervention increased acetate and early-phase insulin, C-peptide and glucagon-like peptide-1 (GLP-1) secretion, while decreasing low-density lipoprotein cholesterol (LDL-C) and blood urea nitrogen (BUN) levels",1
Ruminococcus_torques_group,obesity,increase,30894560,Baseline abundance was significantly associated with hormonal and metabolic effects of RS,"RS intervention increased acetate and early-phase insulin, C-peptide and glucagon-like peptide-1 (GLP-1) secretion, while decreasing low-density lipoprotein cholesterol (LDL-C) and blood urea nitrogen (BUN) levels",1
Eubacterium_hallii_group,obesity,increase,30894560,Baseline abundance was significantly associated with hormonal and metabolic effects of RS,"RS intervention increased acetate and early-phase insulin, C-peptide and glucagon-like peptide-1 (GLP-1) secretion, while decreasing low-density lipoprotein cholesterol (LDL-C) and blood urea nitrogen (BUN) levels",1
Eubacterium_eligens_group,obesity,increase,30894560,Baseline abundance was significantly associated with hormonal and metabolic effects of RS,"RS intervention increased acetate and early-phase insulin, C-peptide and glucagon-like peptide-1 (GLP-1) secretion, while decreasing low-density lipoprotein cholesterol (LDL-C) and blood urea nitrogen (BUN) levels",1
Bacteroides acidifaciens,colitis,increase,30897248,TNBS administration led to an increase in Bacteroides acidifaciens,"Resveratrol treatment increased CD4+FOXP3+ and CD4+IL-10+ T cells, and decreased CD4+IFN-γ+ and CD4+IL-17+ T cells, indicating modulation of Tregs and suppression of Th17 cells in colitis",1
Ruminococcus gnavus,colitis,decrease,30897248,TNBS administration led to a decrease in Ruminococcus gnavus,"Resveratrol treatment increased CD4+FOXP3+ and CD4+IL-10+ T cells, and decreased CD4+IFN-γ+ and CD4+IL-17+ T cells, indicating modulation of Tregs and suppression of Th17 cells in colitis",1
Akkermansia muciniphila,colitis,decrease,30897248,TNBS administration led to a decrease in Akkermansia muciniphila,"Resveratrol treatment increased CD4+FOXP3+ and CD4+IL-10+ T cells, and decreased CD4+IFN-γ+ and CD4+IL-17+ T cells, indicating modulation of Tregs and suppression of Th17 cells in colitis",1
Escherichia coli,intestinal inflammation,decrease,30897686,Reductions in fecal E. coli loads were observed with phage consumption,"There was a small but significant decrease in circulating interleukin-4 (Il-4), which has been associated with autoimmune and allergic responses in human populations",1
Clostridium perfringens,intestinal inflammation,decrease,30897686,Decreased proportion of taxa most closely related to Clostridium perfringens,"There was a small but significant decrease in circulating interleukin-4 (Il-4), which has been associated with autoimmune and allergic responses in human populations",1
Eubacterium,intestinal inflammation,decrease,30897686,Increases in members of the butyrate-producing genera Eubacterium,"There was a small but significant decrease in circulating interleukin-4 (Il-4), which has been associated with autoimmune and allergic responses in human populations",1
Proteobacteria,cervical cancer,increase,30904962,Proteobacteria phylum was notably higher in patients with CCa,,1
Escherichia-Shigella,cervical cancer,increase,30904962,Significantly differentiated in relative abundance between CCa and controls,,1
Roseburia,cervical cancer,increase,30904962,Significantly differentiated in relative abundance between CCa and controls,,1
Pseudomonas,cervical cancer,increase,30904962,Significantly differentiated in relative abundance between CCa and controls,,1
Lachnoclostridium,cervical cancer,increase,30904962,Significantly differentiated in relative abundance between CCa and controls,,1
Lachnospiraceae_UCG-004,cervical cancer,increase,30904962,Significantly differentiated in relative abundance between CCa and controls,,1
Dorea,cervical cancer,increase,30904962,Significantly differentiated in relative abundance between CCa and controls,,1
Succinivibrio,cervical cancer,increase,30904962,Significantly differentiated in relative abundance between CCa and controls,,1
Parabacteroides,cervical cancer,increase,30904962,Identified by LEfSe analysis as potential biomarker for CCa,,1
Lachnospiraceae,intestinal permeability,decrease,30912299,PC treatment increased Lachnospiraceae abundance and reduced intestinal permeability,,1
Ruminococcaceae,intestinal permeability,decrease,30912299,PC treatment increased Ruminococcaceae abundance and reduced intestinal permeability,,1
Rikenellaceae,intestinal permeability,decrease,30912299,PC treatment increased Rikenellaceae abundance and reduced intestinal permeability,,1
Hespellia porcina,Crohn's disease,increase,30927743,Hespellia porcina was the most strongly associated with Crohn's disease at subsequent relapse (CDRL) samples,,1
Clostridiales,Crohn's disease,decrease,30927743,Depletion of Clostridiales in Crohn's disease patients,,1
Akkermansia,inflammatory bowel disease,decrease,30929267; 31892611,"Diversity and richness of colonic microbiota, including Akkermansia, were decreased in sleep-deprived mice || Increased serum 25(OH)D was associated with increased relative abundance of Akkermansia, which is linked to decreased inflammatory bowel disease activity","Sleep deprivation led to down-regulation of anti-inflammatory cytokines and up-regulation of pro-inflammatory cytokines, resulting in colonic mucosal injury. Melatonin supplementation reversed these changes by affecting the NF-κB pathway. || 1,25(OH)2D modulates immune response by inhibiting T cell proliferation, shifting from Th1 to Th2 development, suppressing interferon-γ and interleukin-17 producing T cells, and facilitating T regulatory cells, thereby decreasing inflammatory activity against certain bacteria",2
Bacteroides,inflammatory bowel disease,decrease,30929267; 31892611,"Diversity and richness of colonic microbiota, including Bacteroides, were decreased in sleep-deprived mice || Vitamin D3 supplementation led to a dose-dependent increase in relative abundance of Bacteroides, which is associated with decreased inflammatory bowel disease activity","Sleep deprivation led to down-regulation of anti-inflammatory cytokines and up-regulation of pro-inflammatory cytokines, resulting in colonic mucosal injury. Melatonin supplementation reversed these changes by affecting the NF-κB pathway. || 1,25(OH)2D modulates immune response by inhibiting T cell proliferation, shifting from Th1 to Th2 development, suppressing interferon-γ and interleukin-17 producing T cells, and facilitating T regulatory cells, thereby decreasing inflammatory activity against certain bacteria",2
Aeromonas,inflammatory bowel disease,increase,30929267,The pathogen Aeromonas was markedly increased in sleep-deprived mice,"Sleep deprivation led to down-regulation of anti-inflammatory cytokines and up-regulation of pro-inflammatory cytokines, resulting in colonic mucosal injury. Melatonin supplementation reversed these changes by affecting the NF-κB pathway.",1
Fusobacteria,lung cancer,decrease,30942501,Decreased relative abundance associated with increased lung cancer risk,,1
butyrate-producing bacteria,type 2 diabetes,decrease,30984260,Lower abundance in individuals with T2D compared to normal controls,"High-fat diet changes microbiota composition and increases intestinal permeability, leading to more LPS release which initiates TLR4 signaling and inflammatory response, contributing to obesity and T2D",1
opportunistic pathogens,type 2 diabetes,increase,30984260,Increase in abundance in individuals with T2D compared to normal controls,"High-fat diet changes microbiota composition and increases intestinal permeability, leading to more LPS release which initiates TLR4 signaling and inflammatory response, contributing to obesity and T2D",1
Alcaligenaceae,Autism spectrum disorders,increase,31026579,Identified as a unique bacterial biomarker in ASD children,"The study suggests a link between maternal gut microbiota and neurodevelopmental abnormalities in offspring via the microbiota-gut-immune-brain axis, but specific cytokines or signaling molecules are not mentioned.",1
Acinetobacter,Autism spectrum disorders,increase,31026579,Found in higher abundance in mothers of ASD children and identified as a biomarker,"The study suggests a link between maternal gut microbiota and neurodevelopmental abnormalities in offspring via the microbiota-gut-immune-brain axis, but specific cytokines or signaling molecules are not mentioned.",1
Enterobacteriaceae,Autism spectrum disorders,increase,31026579,Identified as a unique bacterial biomarker in ASD children,"The study suggests a link between maternal gut microbiota and neurodevelopmental abnormalities in offspring via the microbiota-gut-immune-brain axis, but specific cytokines or signaling molecules are not mentioned.",1
Clostridium,Autism spectrum disorders,increase,31026579,Identified as a unique bacterial biomarker in ASD children,"The study suggests a link between maternal gut microbiota and neurodevelopmental abnormalities in offspring via the microbiota-gut-immune-brain axis, but specific cytokines or signaling molecules are not mentioned.",1
Proteobacteria,Autism spectrum disorders,increase,31026579,Found in higher abundance in mothers of ASD children,"The study suggests a link between maternal gut microbiota and neurodevelopmental abnormalities in offspring via the microbiota-gut-immune-brain axis, but specific cytokines or signaling molecules are not mentioned.",1
Alphaproteobacteria,Autism spectrum disorders,increase,31026579,Found in higher abundance in mothers of ASD children,"The study suggests a link between maternal gut microbiota and neurodevelopmental abnormalities in offspring via the microbiota-gut-immune-brain axis, but specific cytokines or signaling molecules are not mentioned.",1
Moraxellaceae,Autism spectrum disorders,increase,31026579,Found in higher abundance in mothers of ASD children,"The study suggests a link between maternal gut microbiota and neurodevelopmental abnormalities in offspring via the microbiota-gut-immune-brain axis, but specific cytokines or signaling molecules are not mentioned.",1
Roseburia,Coronary artery disease,decrease,31027508,Lower abundance in CAD patients compared to healthy controls,"Gut microbiota alterations affect atherosclerosis through modulation of metabolic pathways including taurine, sphingolipid and ceramide, and benzene metabolism. Specific microbial-associated metabolites like trimethylamine-N-oxide (TMAO), short-chain fatty acids (SCFAs) and secondary bile acids have been shown to affect CVD progression.",1
Klebsiella,Coronary artery disease,increase,31027508,Identified as part of bacterial co-abundance group with characteristic changes in CAD,"Gut microbiota alterations affect atherosclerosis through modulation of metabolic pathways including taurine, sphingolipid and ceramide, and benzene metabolism. Specific microbial-associated metabolites like trimethylamine-N-oxide (TMAO), short-chain fatty acids (SCFAs) and secondary bile acids have been shown to affect CVD progression.",1
Clostridium IV,Coronary artery disease,increase,31027508,Identified as part of bacterial co-abundance group with characteristic changes in CAD,"Gut microbiota alterations affect atherosclerosis through modulation of metabolic pathways including taurine, sphingolipid and ceramide, and benzene metabolism. Specific microbial-associated metabolites like trimethylamine-N-oxide (TMAO), short-chain fatty acids (SCFAs) and secondary bile acids have been shown to affect CVD progression.",1
Ruminococcaceae,Coronary artery disease,increase,31027508,Identified as part of bacterial co-abundance group with characteristic changes in CAD,"Gut microbiota alterations affect atherosclerosis through modulation of metabolic pathways including taurine, sphingolipid and ceramide, and benzene metabolism. Specific microbial-associated metabolites like trimethylamine-N-oxide (TMAO), short-chain fatty acids (SCFAs) and secondary bile acids have been shown to affect CVD progression.",1
Collinsella,Atherosclerosis,increase,31027508,Higher levels found in patients with atherosclerosis compared to controls,"Gut microbiota alterations affect atherosclerosis through modulation of metabolic pathways including taurine, sphingolipid and ceramide, and benzene metabolism. Specific microbial-associated metabolites like trimethylamine-N-oxide (TMAO), short-chain fatty acids (SCFAs) and secondary bile acids have been shown to affect CVD progression.",1
Eubacterium,Atherosclerosis,decrease,31027508,Lower levels found in patients with atherosclerosis compared to controls,"Gut microbiota alterations affect atherosclerosis through modulation of metabolic pathways including taurine, sphingolipid and ceramide, and benzene metabolism. Specific microbial-associated metabolites like trimethylamine-N-oxide (TMAO), short-chain fatty acids (SCFAs) and secondary bile acids have been shown to affect CVD progression.",1
Enterobacteriaceae,Atherosclerotic cardiovascular disease,increase,31027508,Higher abundance in patients with atherosclerotic cardiovascular disease,"Gut microbiota alterations affect atherosclerosis through modulation of metabolic pathways including taurine, sphingolipid and ceramide, and benzene metabolism. Specific microbial-associated metabolites like trimethylamine-N-oxide (TMAO), short-chain fatty acids (SCFAs) and secondary bile acids have been shown to affect CVD progression.",1
Streptococcus,Atherosclerotic cardiovascular disease,increase,31027508,Higher abundance in patients with atherosclerotic cardiovascular disease,"Gut microbiota alterations affect atherosclerosis through modulation of metabolic pathways including taurine, sphingolipid and ceramide, and benzene metabolism. Specific microbial-associated metabolites like trimethylamine-N-oxide (TMAO), short-chain fatty acids (SCFAs) and secondary bile acids have been shown to affect CVD progression.",1
Acinetobacter,colorectal adenomas,increase,31035942,16S rRNA gene sequencing data revealed association with adenomas,,1
Acinetobacter,diverticular disease,increase,31035942,16S rRNA gene sequencing data revealed association with diverticula,,1
Gammaproteobacteria,Alzheimer's disease,increase,31063846,Gammaproteobacteria showed a progressive enriched prevalence from healthy controls to aMCI and AD patients,"The study suggests that gut dysbiosis, particularly the enrichment of Proteobacteria and Enterobacteriaceae, is associated with Alzheimer's disease, potentially contributing to neuroinflammation and cognitive impairment. However, specific cytokines or signaling molecules were not mentioned in the provided text.",1
Enterobacteriales,Alzheimer's disease,increase,31063846,Enterobacteriales showed a progressive enriched prevalence from healthy controls to aMCI and AD patients,"The study suggests that gut dysbiosis, particularly the enrichment of Proteobacteria and Enterobacteriaceae, is associated with Alzheimer's disease, potentially contributing to neuroinflammation and cognitive impairment. However, specific cytokines or signaling molecules were not mentioned in the provided text.",1
Enterobacteriaceae,Alzheimer's disease,increase,31063846,Enterobacteriaceae showed a progressive enriched prevalence from healthy controls to aMCI and AD patients,"The study suggests that gut dysbiosis, particularly the enrichment of Proteobacteria and Enterobacteriaceae, is associated with Alzheimer's disease, potentially contributing to neuroinflammation and cognitive impairment. However, specific cytokines or signaling molecules were not mentioned in the provided text.",1
Enterococcus,Lung cancer,increase,31065547,Elevated levels of Enterococcus were found in LC patients compared to healthy controls,,1
Bifidobacterium,Lung cancer,decrease,31065547,Controls had a higher abundance of the genus Bifidobacterium compared to LC patients,,1
Lactobacillus rhamnosus GG,Lung cancer,decrease,31065547,Lactobacillus rhamnosus GG is documented as protective against cancer,,1
Lactobacillus acidophilus,Lung cancer,decrease,31065547,Lactobacillus acidophilus is documented as protective against cancer,,1
Chlamydia pneumoniae,coronary heart disease,increase,31088358,Higher incidence of CP infection in CHD patients (42.4% vs. 0%) and correlation with severity of coronary artery lesions,"Chlamydia pneumoniae infection is associated with increased serum levels of CP-IgA, hs-CRP, and IL-6, which correlate with the severity of coronary artery disease and adverse prognosis events",1
Gut microbiota,Hepatocellular carcinoma,increase,31101866,"Gut microbiota dysbiosis and increased bacterial translocation play an important role in the progression of chronic liver disease, leading to hepatocellular carcinoma",,1
Circulating microbiome,Hepatocellular carcinoma,increase,31101866,"Circulating microbial dysbiosis is associated with chronic liver disease including hepatocellular carcinoma, and blood microbial diversity was significantly reduced in HCC",,1
Anaerostipes,cardiovascular disease,decrease,31152545,"Consumption of aronia extract increased the growth of Anaerostipes, which was associated with improved endothelial function",,1
Bacteroides,cardiovascular disease,decrease,31152545,"Consumption of aronia whole fruit significantly increased Bacteroides, which was associated with improved endothelial function",,1
Atopobium parvulum,colorectal cancer,increase,31171880,Significantly increased in multiple polypoid adenomas and/or intramucosal carcinomas,,1
Actinomyces odontolyticus,colorectal cancer,increase,31171880,Significantly increased in multiple polypoid adenomas and/or intramucosal carcinomas,,1
Enterococcaceae,Parkinson's disease,increase,31174953,Increased levels in feces from PD patients compared to healthy controls,"Functional predictions suggest changes in pathways favoring a pro-inflammatory environment in the gastrointestinal tract, and a reduction in the biosynthesis of amino acids acting as precursors of physiological transmitters.",1
Gram-negative bacteria,type 1 diabetes,increase,31188437,"Higher abundance of Gram-negative bacteria in T1D patients contributes to dysbiosis, increased intestinal permeability, and poor glycemic control","Lipopolysaccharides (LPS) from Gram-negative bacteria contribute to inflammation, increased intestinal permeability, and poor glycemic control. Short-chain fatty acids (SCFAs) produced by Bifidobacterium reduce inflammation and improve glycemic control by stimulating glucagon-like peptide and peptide YY release.",1
Streptococcus,type 1 diabetes,increase,31188437,Higher relative abundance of Streptococcus in placebo group compared to prebiotic group,"Lipopolysaccharides (LPS) from Gram-negative bacteria contribute to inflammation, increased intestinal permeability, and poor glycemic control. Short-chain fatty acids (SCFAs) produced by Bifidobacterium reduce inflammation and improve glycemic control by stimulating glucagon-like peptide and peptide YY release.",1
Roseburia inulinivorans,type 1 diabetes,increase,31188437,Higher relative abundance of Roseburia inulinivorans in placebo group compared to prebiotic group,"Lipopolysaccharides (LPS) from Gram-negative bacteria contribute to inflammation, increased intestinal permeability, and poor glycemic control. Short-chain fatty acids (SCFAs) produced by Bifidobacterium reduce inflammation and improve glycemic control by stimulating glucagon-like peptide and peptide YY release.",1
Terrisporobacter,type 1 diabetes,increase,31188437,Higher relative abundance of Terrisporobacter in placebo group compared to prebiotic group,"Lipopolysaccharides (LPS) from Gram-negative bacteria contribute to inflammation, increased intestinal permeability, and poor glycemic control. Short-chain fatty acids (SCFAs) produced by Bifidobacterium reduce inflammation and improve glycemic control by stimulating glucagon-like peptide and peptide YY release.",1
Faecalitalea,type 1 diabetes,increase,31188437,Higher relative abundance of Faecalitalea in placebo group compared to prebiotic group,"Lipopolysaccharides (LPS) from Gram-negative bacteria contribute to inflammation, increased intestinal permeability, and poor glycemic control. Short-chain fatty acids (SCFAs) produced by Bifidobacterium reduce inflammation and improve glycemic control by stimulating glucagon-like peptide and peptide YY release.",1
Ruminococcaceae,Parkinson's disease,increase,31200089,Abundance was significantly enriched in PD patients compared to healthy controls,,1
Porphyromondaceae,Parkinson's disease,increase,31200089,Abundance was significantly enriched in PD patients compared to healthy controls,,1
Hydrogenoanaerobacterium,Parkinson's disease,increase,31200089,Abundance was significantly enriched in PD patients compared to healthy controls,,1
Lachnospiraceae NK4A,Parkinson's disease,increase,31200089,Abundance was significantly enriched in PD patients compared to healthy controls,,1
Brevundimonas,colorectal cancer,decrease,31244818,Lower abundance in tumor tissues compared to non-neoplastic mucosa,,1
Verrucomicrobia,Parkinson's disease,increase,31248424,Microbiota from patients with PD was altered relative to controls and dominated by Verrucomicrobia,"Altered microbiota was correlated with plasma concentrations of IFN γ and TNF α. There was a correlation between Bacteroides and plasma level of TNF α (rho = 0.638 [95% CI: 0.102 –0.887], P= 0.02); and a correlation between Verrucomicrobia abundance and plasma concentrations of IFN γ (rho = 0.545 [95% CI −0.043 –0.852], P= 0.05). The elevated plasma cytokine responses were confirmed in an additional independent 120 patients with PD and 120 controls (TNF α: PD vs. control 8.51 ± 4.63 pg/ml vs. 4.82 ± 2.23 pg/ml, P< 0.01; and IFN γ: PD vs. control: 38.45 ± 7.12 pg/ml vs. 32.79 ± 8.03 pg/ml, P= 0.03).",1
Mucispirillum,Parkinson's disease,increase,31248424,Microbiota from patients with PD was altered relative to controls and dominated by Mucispirillum,"Altered microbiota was correlated with plasma concentrations of IFN γ and TNF α. There was a correlation between Bacteroides and plasma level of TNF α (rho = 0.638 [95% CI: 0.102 –0.887], P= 0.02); and a correlation between Verrucomicrobia abundance and plasma concentrations of IFN γ (rho = 0.545 [95% CI −0.043 –0.852], P= 0.05). The elevated plasma cytokine responses were confirmed in an additional independent 120 patients with PD and 120 controls (TNF α: PD vs. control 8.51 ± 4.63 pg/ml vs. 4.82 ± 2.23 pg/ml, P< 0.01; and IFN γ: PD vs. control: 38.45 ± 7.12 pg/ml vs. 32.79 ± 8.03 pg/ml, P= 0.03).",1
Porphyromonas,Parkinson's disease,increase,31248424,Microbiota from patients with PD was altered relative to controls and dominated by Porphyromonas,"Altered microbiota was correlated with plasma concentrations of IFN γ and TNF α. There was a correlation between Bacteroides and plasma level of TNF α (rho = 0.638 [95% CI: 0.102 –0.887], P= 0.02); and a correlation between Verrucomicrobia abundance and plasma concentrations of IFN γ (rho = 0.545 [95% CI −0.043 –0.852], P= 0.05). The elevated plasma cytokine responses were confirmed in an additional independent 120 patients with PD and 120 controls (TNF α: PD vs. control 8.51 ± 4.63 pg/ml vs. 4.82 ± 2.23 pg/ml, P< 0.01; and IFN γ: PD vs. control: 38.45 ± 7.12 pg/ml vs. 32.79 ± 8.03 pg/ml, P= 0.03).",1
Parabacteroides,Parkinson's disease,increase,31248424,Microbiota from patients with PD was altered relative to controls and dominated by Parabacteroides,"Altered microbiota was correlated with plasma concentrations of IFN γ and TNF α. There was a correlation between Bacteroides and plasma level of TNF α (rho = 0.638 [95% CI: 0.102 –0.887], P= 0.02); and a correlation between Verrucomicrobia abundance and plasma concentrations of IFN γ (rho = 0.545 [95% CI −0.043 –0.852], P= 0.05). The elevated plasma cytokine responses were confirmed in an additional independent 120 patients with PD and 120 controls (TNF α: PD vs. control 8.51 ± 4.63 pg/ml vs. 4.82 ± 2.23 pg/ml, P< 0.01; and IFN γ: PD vs. control: 38.45 ± 7.12 pg/ml vs. 32.79 ± 8.03 pg/ml, P= 0.03).",1
Bacteroides,Parkinson's disease,increase,31248424,The abundances of Bacteroides were more increased in patients with non-tremor PD subtype than patients with tremor subtype,"Altered microbiota was correlated with plasma concentrations of IFN γ and TNF α. There was a correlation between Bacteroides and plasma level of TNF α (rho = 0.638 [95% CI: 0.102 –0.887], P= 0.02); and a correlation between Verrucomicrobia abundance and plasma concentrations of IFN γ (rho = 0.545 [95% CI −0.043 –0.852], P= 0.05). The elevated plasma cytokine responses were confirmed in an additional independent 120 patients with PD and 120 controls (TNF α: PD vs. control 8.51 ± 4.63 pg/ml vs. 4.82 ± 2.23 pg/ml, P< 0.01; and IFN γ: PD vs. control: 38.45 ± 7.12 pg/ml vs. 32.79 ± 8.03 pg/ml, P= 0.03).",1
Lactobacillus acidophilus LA-14,obesity,decrease,31250099,Probiotic mixture supplementation including Lactobacillus acidophilus LA-14 was associated with modulation of gut microbiota and reduction in adiposity markers,"Clostridiaceae was negatively associated with TNF-α, and IL6/IL10 ratio was significantly correlated with microbiome composition in obesity",1
Lactobacillus casei LC-11,obesity,decrease,31250099,Probiotic mixture supplementation including Lactobacillus casei LC-11 was associated with modulation of gut microbiota and reduction in adiposity markers,"Clostridiaceae was negatively associated with TNF-α, and IL6/IL10 ratio was significantly correlated with microbiome composition in obesity",1
Lactococcus lactis LL-23,obesity,decrease,31250099,Probiotic mixture supplementation including Lactococcus lactis LL-23 was associated with modulation of gut microbiota and reduction in adiposity markers,"Clostridiaceae was negatively associated with TNF-α, and IL6/IL10 ratio was significantly correlated with microbiome composition in obesity",1
Bifidobacterium bifidum BB-06,obesity,decrease,31250099,Probiotic mixture supplementation including Bifidobacterium bifidum BB-06 was associated with modulation of gut microbiota and reduction in adiposity markers,"Clostridiaceae was negatively associated with TNF-α, and IL6/IL10 ratio was significantly correlated with microbiome composition in obesity",1
Bifidobacterium lactis BL-4,obesity,decrease,31250099,Probiotic mixture supplementation including Bifidobacterium lactis BL-4 was associated with modulation of gut microbiota and reduction in adiposity markers,"Clostridiaceae was negatively associated with TNF-α, and IL6/IL10 ratio was significantly correlated with microbiome composition in obesity",1
TM7,obesity,increase,31250099,TM7 was strongly associated with all adiposity markers and tended to decrease after probiotic mixture supplementation,"Clostridiaceae was negatively associated with TNF-α, and IL6/IL10 ratio was significantly correlated with microbiome composition in obesity",1
Clostridiaceae,obesity,decrease,31250099,Clostridiaceae increased after probiotic mixture supplementation and was negatively associated with TNF-α,"Clostridiaceae was negatively associated with TNF-α, and IL6/IL10 ratio was significantly correlated with microbiome composition in obesity",1
Eubacterium,colorectal cancer,decrease,31250341,Significant reduction in Eubacterium in CRC patients compared to normal controls,,1
Devosia,colorectal cancer,increase,31250341,Significant increase in Devosia in the gut microbiota of CRC patients,,1
Clostridium leptum,colorectal cancer,increase,31250341,Specific to CRC in fecal microbiota,,1
Clostridium coccoides,colorectal cancer,increase,31250341,Specific to CRC in fecal microbiota,,1
gut microbiota,Crohn's disease,decrease,31276165,Antibiotic treatment (metronidazole and metronidazole plus azithromycin) leads to distinct gut microbiota structures associated with disease remission,,1
Enterorhabdus,cardiovascular diseases,decrease,31292752,MD significantly changed the abundance of Enterorhabdus,"Variations of SCFA were negatively correlated with changes of inflammatory cytokines such as VEGF, MCP-1, IL-17, IP-10 and IL-12, only after MD, supporting their role in modulating the inflammatory response.",1
Lachnoclostridium,cardiovascular diseases,decrease,31292752,MD significantly changed the abundance of Lachnoclostridium,"Variations of SCFA were negatively correlated with changes of inflammatory cytokines such as VEGF, MCP-1, IL-17, IP-10 and IL-12, only after MD, supporting their role in modulating the inflammatory response.",1
Parabacteroides,cardiovascular diseases,decrease,31292752,MD significantly changed the abundance of Parabacteroides,"Variations of SCFA were negatively correlated with changes of inflammatory cytokines such as VEGF, MCP-1, IL-17, IP-10 and IL-12, only after MD, supporting their role in modulating the inflammatory response.",1
Anaerostipes,cardiovascular diseases,decrease,31292752,VD significantly affected the abundance of Anaerostipes,"Variations of SCFA were negatively correlated with changes of inflammatory cytokines such as VEGF, MCP-1, IL-17, IP-10 and IL-12, only after MD, supporting their role in modulating the inflammatory response.",1
Streptococcus,cardiovascular diseases,decrease,31292752,VD significantly affected the abundance of Streptococcus,"Variations of SCFA were negatively correlated with changes of inflammatory cytokines such as VEGF, MCP-1, IL-17, IP-10 and IL-12, only after MD, supporting their role in modulating the inflammatory response.",1
Clostridium sensu stricto,cardiovascular diseases,decrease,31292752,VD significantly affected the abundance of Clostridium sensu stricto,"Variations of SCFA were negatively correlated with changes of inflammatory cytokines such as VEGF, MCP-1, IL-17, IP-10 and IL-12, only after MD, supporting their role in modulating the inflammatory response.",1
Odoribacter,cardiovascular diseases,decrease,31292752,VD significantly affected the abundance of Odoribacter,"Variations of SCFA were negatively correlated with changes of inflammatory cytokines such as VEGF, MCP-1, IL-17, IP-10 and IL-12, only after MD, supporting their role in modulating the inflammatory response.",1
Lactobacillus rhamnosus,obesity,decrease,31298466,Reduced diet-induced weight gain and improved insulin sensitivity and glucose tolerance in animal models,"Synbiotic supplementation during VLCKD can improve weight loss through the amelioration of inflammation, mediated by gut microbiota changes including increased short-chain fatty acid-producing bacteria and anti-inflammatory mediators.",1
Bifidobacterium animalis subsp. lactis,obesity,decrease,31298466,"Significantly associated with the percentage of weight loss and changes in glucose, C-reactive protein, and lipopolysaccharide-binding protein","Synbiotic supplementation during VLCKD can improve weight loss through the amelioration of inflammation, mediated by gut microbiota changes including increased short-chain fatty acid-producing bacteria and anti-inflammatory mediators.",1
Odoribacter,obesity,decrease,31298466,Increase in short-chain fatty acid-producing bacteria and anti-inflammatory mediator signals,"Synbiotic supplementation during VLCKD can improve weight loss through the amelioration of inflammation, mediated by gut microbiota changes including increased short-chain fatty acid-producing bacteria and anti-inflammatory mediators.",1
Methanobrevibacter,amyotrophic lateral sclerosis,increase,31306225,The genus Methanobrevibacter showed an enhancive tendency in patients with ALS,"The level of metabolites (short-chain fatty acids [SCFA], NO2-N/NO3-N, and g-aminobutyric acid) generated by gut bacteria could influence disease progression in ALS",1
Faecalibacterium,amyotrophic lateral sclerosis,decrease,31306225,The relative abundance of beneficial micro-organisms (genus Faecalibacterium) presented a significant decrease tendency in patients with ALS,"The level of metabolites (short-chain fatty acids [SCFA], NO2-N/NO3-N, and g-aminobutyric acid) generated by gut bacteria could influence disease progression in ALS",1
Bacteroides,amyotrophic lateral sclerosis,decrease,31306225,The relative abundance of beneficial micro-organisms (genus Bacteroides) presented a significant decrease tendency in patients with ALS,"The level of metabolites (short-chain fatty acids [SCFA], NO2-N/NO3-N, and g-aminobutyric acid) generated by gut bacteria could influence disease progression in ALS",1
Dorea,amyotrophic lateral sclerosis,increase,31306225,The relative abundance of harmful bacteria (genus Dorea) presented an enhancive trend in the gastrointestinal tract of patients with ALS,"The level of metabolites (short-chain fatty acids [SCFA], NO2-N/NO3-N, and g-aminobutyric acid) generated by gut bacteria could influence disease progression in ALS",1
Anaerostipes,amyotrophic lateral sclerosis,decrease,31306225,The relative abundance of beneficial micro-organisms (genus Anaerostipes) presented a declined trend in the gastrointestinal tract of patients with ALS,"The level of metabolites (short-chain fatty acids [SCFA], NO2-N/NO3-N, and g-aminobutyric acid) generated by gut bacteria could influence disease progression in ALS",1
Oscillibacter,amyotrophic lateral sclerosis,decrease,31306225,The relative abundance of beneficial micro-organisms (genus Oscillibacter) presented a declined trend in the gastrointestinal tract of patients with ALS,"The level of metabolites (short-chain fatty acids [SCFA], NO2-N/NO3-N, and g-aminobutyric acid) generated by gut bacteria could influence disease progression in ALS",1
Lachnospiraceae,amyotrophic lateral sclerosis,decrease,31306225,The relative abundance of beneficial micro-organisms (genus Lachnospiraceae) presented a declined trend in the gastrointestinal tract of patients with ALS,"The level of metabolites (short-chain fatty acids [SCFA], NO2-N/NO3-N, and g-aminobutyric acid) generated by gut bacteria could influence disease progression in ALS",1
Bacteroides spp,gastrointestinal discomfort,decrease,31325040,Intake of wheat germ-enriched bread increased Bacteroides spp. and was associated with decreased gastrointestinal discomfort,,1
Bifidobacterium spp,gastrointestinal discomfort,decrease,31325040,Intake of wheat germ-enriched bread increased Bifidobacterium spp. and was associated with decreased gastrointestinal discomfort,,1
